feature,mean,std,count
Lag_1,0.40535802295761775,0.27128793653158195,6
Distance_SMA_200,0.1379387584580875,0.15017536571369913,6
BB_Lower,0.11205328497704935,0.17052011436743372,6
OBV,0.09192722282033423,0.12230843265476854,6
Lag_2,0.09167328309315119,0.10112295528916981,6
Lag_3,0.05013961326317549,0.05477051657202244,6
Lag_4,0.04001892407904335,0.061695567756039946,6
Lag_5,0.011697751245767869,0.016410756663706734,6
Signal_Line,0.011149734933815084,0.012664609575599546,6
BB_Upper,0.011141005458204437,0.014534375947091775,6
Vol_Ratio,0.003518313324947222,0.004647704007834277,6
Distance_SMA_50,0.003477641541238601,0.004948332007270844,6
HV_10,0.0028058625433530653,0.0024754228146207794,6
HV_50,0.0027162927006693827,0.0029978948933313187,6
Distance_EMA_12,0.0023897412071534874,0.0034891781945180895,6
Parkinson_Vol,0.002241868822633742,0.0021274734735189415,6
BB_Position,0.0020382785377455414,0.0012633385770702964,6
BB_Width,0.001636672898048522,0.0005697216509311792,6
Momentum_20,0.001571175312482551,0.0011777857902502754,6
ATR_Percent,0.0014569832360139152,0.0020383049014783537,6
MACD,0.0014238507390128888,0.001100529099202614,6
Rel_Volume_20,0.001304211402507532,0.0011335641660348015,6
Momentum_5,0.0012594041095544508,0.0006233579619290473,6
MACD_Histogram,0.0011733841989574208,0.0007822979837963493,6
HL_Spread,0.0010032862873641604,0.0005035308515796747,6
HV_20,0.0009265192704125651,0.0003795566508273644,6
Volume_Change,0.0008770486538867074,0.0003047106231686383,6
Rel_Volume_50,0.0008389016726644771,0.0005505138067664798,6
RSI,0.0008167062231719176,0.00037193505546894974,6
ATR,0.0007614837896431796,0.00042281871631943995,6
ROC_10,0.0006140046943585869,0.0004003394341038962,6
VP_Trend,0.0006066476980901514,0.00029441054573801223,6
Momentum_10,0.0005765165848470448,0.0003893315684432533,6
Month,0.0003655404308465151,0.00041300251577015287,6
DaysToFriday,0.00018730925922207643,5.4858264898490115e-05,6
DayOfWeek,0.00018727452055539477,7.828577295215598e-05,6
Quarter,5.2863608155466855e-05,3.529650353749301e-05,6
IsFriday,4.5633349413012e-05,1.219854386128391e-05,6
IsMonday,2.8982096804142337e-05,1.86779792325777e-05,6
